type,commit_hash,modifications,lines_added,lines_removed,lines_added+removed,diff_methods,changed_methods,complexity
other,137e7de0454f10160370f105ac7d9d2fc5403c84,11.0,116.0,75.0,191.0,2.0,30.0,4.190.909.090.909.090
other,37887141fe8cc398eff35dc4fbe74c9b4bcdc26c,28.0,365.0,331.0,696.0,-1.0,140.0,61.357.142.857.142.800
other,8ba6323b7e5980afce86c62caa9c8d65772c05e3,3.0,201.0,14.0,215.0,9.0,14.0,9.0
other,c71ef59a908df3eab353297b3053be16dc07e055,4.0,26.0,18.0,44.0,0.0,8.0,23.5
other,db2ae92156242255a0d42caaf50c7801e79de917,5.0,89.0,24.0,113.0,5.0,18.0,171.2
other,b1bfe7130cb0163736ea118bb779c66d04fa8a09,41.0,174.0,73.0,247.0,0.0,0.0,4.434.146.341.463.410
other,31c511f6947ccdd4bdad4e1232606d399a8647de,30.0,669.0,487.0,1156.0,3.0,122.0,5.946.666.666.666.660
other,351b3d6bf786e001f80ab3a7a933d4279cafbf83,20.0,667.0,618.0,1285.0,1.0,185.0,70.1
other,5785e1b4f6fdb782b87ceaa4460bc4fca28d747c,1.0,1.0,1.0,2.0,0.0,0.0,74.0
other,c84c8fadc2febd8915df51c7291df95833637402,2.0,29.0,1.0,30.0,2.0,2.0,65.5
other,21acfae8e3df493b94ec884fae5c6dc588e5f18a,2.0,3.0,3.0,6.0,0.0,1.0,32.5
other,d908a676c25b6b3d547b45a9970f4bfb7a358010,13.0,186.0,50.0,236.0,6.0,20.0,31.307.692.307.692.300
other,9745e15d275e64140203c31a4b69a41feabe65c1,3.0,17.0,8.0,25.0,1.0,6.0,27.666.666.666.666.600
other,36f4fd04f74323c137ca6ac1b464e9f5f04f33bf,24.0,193.0,126.0,319.0,3.0,75.0,43.291.666.666.666.600
other,aac684aeae32ff18e443799a3ccff6de9d68a684,18.0,87.0,77.0,164.0,0.0,79.0,8.133.333.333.333.330
other,e41f2cb1d8bca45f92e47cf6d62c940d503cfa3a,2.0,8.0,1.0,9.0,1.0,2.0,32.5
other,30e72340e0c5a74feb347a79621b93d640ded576,3.0,29.0,0.0,29.0,1.0,2.0,54.333.333.333.333.300
other,bdbe2dad8806a77bf018b87f4518df250fa67f89,2.0,34.0,4.0,38.0,1.0,4.0,61.5
other,8b17ab4e65b21c6480a38c383a16899f9ffabbcc,2.0,74.0,7.0,81.0,3.0,5.0,85.5
other,aa58436fbfb7e42fe225fb65c68d17c5f86b1624,1.0,13.0,8.0,21.0,1.0,5.0,16.0
other,e983dd2ae0fec1fef4eb9b08584cc2c852b47114,11.0,705.0,355.0,1060.0,19.0,82.0,7.336.363.636.363.630
other,5b37cda9e00626f43acf354df145fd452c3031f1,14.0,1092.0,24.0,1116.0,61.0,65.0,23.357.142.857.142.800
other,0d04eecc01864d7185722c9cce0ba364bf068422,1.0,7.0,6.0,13.0,0.0,1.0,16.0
other,63ed542534eec2b1eb124531452a467b5541baa7,2.0,10.0,0.0,10.0,2.0,3.0,9.5
other,f6502e89f9bb96c4b76800c5245170a76b60e60c,9.0,104.0,24.0,128.0,4.0,8.0,5.555.555.555.555.550
other,44efb0990478ee25e371549693a5a1062d74ca3f,6.0,277.0,0.0,277.0,21.0,21.0,3.5
other,0024b66b4ff830338df387c9e08ba5bade88aa1c,2.0,6.0,10.0,16.0,-1.0,3.0,58.0
other,7d5793dcacab6d01f6d3b0c1bfab30b4e5f20317,6.0,403.0,0.0,403.0,31.0,31.0,6.666.666.666.666.660
other,c3c95924747846ae35c728d84b4ae37503013484,1.0,6.0,2.0,8.0,0.0,1.0,48.0
other,327de18c95ab972963190945a8b72163417d7406,1.0,1.0,1.0,2.0,0.0,1.0,47.0
other,092f9a1b4ea5633f3622090bd91492b9a39d5722,1.0,39.0,8.0,47.0,1.0,7.0,70.0
other,5a17198acef96906dc6698245ad3192a1b4f6384,1.0,0.0,14.0,14.0,0.0,0.0,22.0
other,355c8b0ef12318994822b4095dcd9cdcec1e259a,1.0,119.0,72.0,191.0,7.0,8.0,37.0
other,897103e17903e8f351569e9572186935b89dcee9,1.0,1.0,1.0,2.0,0.0,1.0,13.0
other,fd1e5551fdc3f2effa333b56123cddfb454aead0,6.0,452.0,0.0,452.0,22.0,22.0,8.666.666.666.666.660
other,f27e8b408b24b17ac6f0f357cb7f92f55329d006,1.0,1.0,1.0,2.0,0.0,0.0,1.0
other,e41424d00eef3645a37cbe772fdeb4a591ef3510,2.0,2.0,2.0,4.0,0.0,2.0,175.5
other,fb83491cc67ea2763c6e47af00d7f9f2fe4c2744,5.0,87.0,10.0,97.0,4.0,8.0,116.6
other,5c73e3e1b8ba7e7785293b7fb45f0b59849371de,2.0,2.0,2.0,4.0,0.0,2.0,114.5
other,f9cef65e353235a03a83dcd65a63a284ed461450,4.0,86.0,9.0,95.0,4.0,7.0,106.75
other,d66238d256c0fd08f9e5794d7581f29f7e202bd1,2.0,2.0,2.0,4.0,0.0,2.0,114.5
other,db18f0e404ab35c7b23e8ecc27913d717e96eb84,10.0,100.0,96.0,196.0,-4.0,36.0,78.6
